                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3287,                  4.606,                 1.4894,                      0,                      0,                      0,                      0,                 1.4482,                 4.6837,                 1.4709,               9.52e-06,               9.52e-06,               9.52e-06
                      1,                 1.1183,                 4.5704,                 1.3388,                      0,                      0,                      0,                      0,                 1.2496,                 4.6228,                 1.3502,             2.3753e-05,             2.3753e-05,             2.3753e-05
                      2,                 1.0266,                 4.5184,                 1.2493,                      0,                      0,                      0,                      0,                 1.0218,                 4.5625,                 1.2139,             3.7929e-05,             3.7929e-05,             3.7929e-05
                      3,                0.88742,                  4.225,                 1.1238,                      0,                      0,                      0,                      0,                0.87409,                 4.5054,                 1.0919,             5.2049e-05,             5.2049e-05,             5.2049e-05
                      4,                0.89008,                 4.0144,                 1.1176,                      0,                      0,                      0,                      0,                 0.7772,                 4.4645,                 1.0276,             6.6112e-05,             6.6112e-05,             6.6112e-05
                      5,                0.91083,                 3.6397,                 1.1026,                      0,                      0,                      0,                      0,                0.67479,                 4.4211,                0.95702,             8.0119e-05,             8.0119e-05,             8.0119e-05
                      6,                0.79383,                 3.4057,                 1.0422,                      0,                      0,                      0,                      0,                0.62922,                  4.361,                0.92388,             9.4069e-05,             9.4069e-05,             9.4069e-05
                      7,                0.88377,                 3.1328,                  1.043,                      0,                      0,                      0,                      0,                0.64262,                 4.3091,                0.92858,             0.00010796,             0.00010796,             0.00010796
                      8,                0.81514,                  2.871,                 1.0707,                    0.1,                  0.025,                0.05362,                0.03754,                0.67577,                 4.1398,                0.95018,              0.0001218,              0.0001218,              0.0001218
                      9,                0.89926,                 2.4435,                 1.1381,                0.45753,                    0.6,                 0.5183,                0.43037,                0.68609,                 4.0102,                0.97056,             0.00013558,             0.00013558,             0.00013558
                     10,                0.77091,                 2.1824,                 1.0442,                0.37771,                  0.975,                0.62266,                0.52002,                0.72073,                 3.6728,                0.99654,              0.0001493,              0.0001493,              0.0001493
                     11,                0.96918,                 2.0001,                 1.2184,                0.32531,                      1,                 0.6587,                0.55056,                0.74389,                 3.4684,                0.98916,             0.00016297,             0.00016297,             0.00016297
                     12,                0.93347,                 2.0792,                 1.2041,                0.21124,                      1,                0.63423,                 0.5265,                0.73297,                 2.9129,                 0.9496,             0.00017658,             0.00017658,             0.00017658
                     13,                0.87074,                 1.8513,                 1.0965,                0.21364,                      1,                0.61681,                0.51059,                0.72475,                 2.6752,                0.92445,             0.00019014,             0.00019014,             0.00019014
                     14,                0.89426,                 1.7643,                  1.164,                0.23634,                      1,                0.59132,                0.48107,                0.71564,                 2.5742,                0.91067,             0.00020363,             0.00020363,             0.00020363
                     15,                0.82296,                 1.6512,                 1.1445,                 0.2685,                      1,                0.60302,                0.49362,                0.72479,                 2.6662,                 0.9292,             0.00021708,             0.00021708,             0.00021708
                     16,                 0.9819,                 1.6483,                 1.1445,                0.26871,                      1,                0.63761,                0.52776,                0.73184,                 2.7919,                0.92866,             0.00023046,             0.00023046,             0.00023046
                     17,                0.90802,                 1.5786,                  1.089,                0.27253,                      1,                0.76467,                0.62669,                0.74308,                 2.7711,                0.91868,             0.00024379,             0.00024379,             0.00024379
                     18,                0.86148,                 1.6068,                 1.0713,                0.23938,                      1,                0.80607,                0.65696,                0.76398,                 2.6476,                0.91637,             0.00025706,             0.00025706,             0.00025706
                     19,                0.90677,                  1.543,                 1.1489,                  0.219,                      1,                0.78567,                0.63991,                0.79794,                 2.4003,                0.92047,             0.00027027,             0.00027027,             0.00027027
                     20,                0.81494,                 1.3986,                 1.0776,                0.50603,                      1,                0.74311,                0.60373,                 0.8163,                 2.1081,                0.93329,             0.00028343,             0.00028343,             0.00028343
                     21,                0.79901,                 1.3976,                 1.0677,                0.49593,                      1,                0.73333,                0.61243,                0.78017,                 1.8198,                0.94912,             0.00029654,             0.00029654,             0.00029654
                     22,                0.75514,                 1.4829,                 1.0707,                0.49587,                      1,                 0.7272,                0.61116,                0.75417,                 1.6292,                0.94756,             0.00030958,             0.00030958,             0.00030958
                     23,                0.75778,                 1.3888,                 1.0546,                0.49563,                      1,                0.72946,                0.60714,                0.71824,                 1.5984,                0.93419,             0.00032257,             0.00032257,             0.00032257
                     24,                0.73719,                 1.3288,                 1.0527,                0.49391,                      1,                0.74387,                0.61568,                0.69472,                 1.5992,                0.90999,              0.0003355,              0.0003355,              0.0003355
                     25,                0.78177,                 1.3669,                 1.0259,                0.98411,                0.96304,                0.98429,                0.82278,                0.72199,                 1.3342,                0.88458,             0.00034838,             0.00034838,             0.00034838
